scenario,maturity_years,log_moneyness,mean_signed_error_bp,q95_absolute_error_bp,observations
low_iid,0.0833333333333,-0.15,-389.636982433,1709.07441054,52600
low_iid,0.0833333333333,-0.075,-0.115988243778,40.2808633154,52600
low_iid,0.0833333333333,0,0.0186710639559,34.6599889666,52600
low_iid,0.0833333333333,0.075,-53.0626849013,824.815377336,52600
low_iid,0.0833333333333,0.15,-1064.15715309,1644.02541833,52600
low_iid,0.25,-0.15,-0.179659196591,41.3202463121,52600
low_iid,0.25,-0.075,-0.119965533978,36.6643407317,52600
low_iid,0.25,0,-0.0469485085325,32.3552666977,52600
low_iid,0.25,0.075,-0.0400110756164,36.5937335489,52600
low_iid,0.25,0.15,-0.182130599998,42.6926467208,52600
low_iid,0.5,-0.15,-0.0666542265493,40.5597129572,52600
low_iid,0.5,-0.075,-0.0430117411017,35.938174756,52600
low_iid,0.5,0,-0.0167917773774,31.7738841627,52600
low_iid,0.5,0.075,-0.0544801858209,35.9318282006,52600
low_iid,0.5,0.15,-0.0836826899646,40.386797764,52600
persistent_factor,0.0833333333333,-0.15,-389.721809777,1708.80121895,52600
persistent_factor,0.0833333333333,-0.075,-0.272068637915,40.422343082,52600
persistent_factor,0.0833333333333,0,-0.169408451062,34.4207183768,52600
persistent_factor,0.0833333333333,0.075,-53.4350679737,826.157797702,52600
persistent_factor,0.0833333333333,0.15,-1064.78150302,1644.76952292,52600
persistent_factor,0.25,-0.15,-0.132225452218,41.2580048505,52600
persistent_factor,0.25,-0.075,-0.0576879218392,36.7265975326,52600
persistent_factor,0.25,0,-0.10813517322,32.4787199726,52600
persistent_factor,0.25,0.075,-0.082348191744,36.6157377271,52600
persistent_factor,0.25,0.15,-0.343591313392,42.4696590784,52600
persistent_factor,0.5,-0.15,-0.0300400911225,40.2024012172,52600
persistent_factor,0.5,-0.075,-0.156909957954,35.7821343548,52600
persistent_factor,0.5,0,-0.11583457074,31.4780468302,52600
persistent_factor,0.5,0.075,-0.0579375336195,35.7496848874,52600
persistent_factor,0.5,0.15,-0.135950648134,40.1437962451,52600
spatial_corr,0.0833333333333,-0.15,-391.868144797,1709.37342502,52600
spatial_corr,0.0833333333333,-0.075,-0.196337532692,40.2662794912,52600
spatial_corr,0.0833333333333,0,-0.089482517641,34.4570752087,52600
spatial_corr,0.0833333333333,0.075,-52.8991960533,824.361993617,52600
spatial_corr,0.0833333333333,0.15,-1063.83521965,1644.54582865,52600
spatial_corr,0.25,-0.15,0.0379614413941,41.3549596373,52600
spatial_corr,0.25,-0.075,-0.0400384197552,36.7790113459,52600
spatial_corr,0.25,0,-0.019614703044,32.4408622834,52600
spatial_corr,0.25,0.075,-0.034709297039,36.7840084196,52600
spatial_corr,0.25,0.15,-0.129592857447,42.68344399,52600
spatial_corr,0.5,-0.15,-0.0371512624771,40.1355962766,52600
spatial_corr,0.5,-0.075,-0.00948795706346,35.8032475356,52600
spatial_corr,0.5,0,0.011591219091,31.4205377619,52600
spatial_corr,0.5,0.075,-0.139432754813,35.7063562477,52600
spatial_corr,0.5,0.15,-0.152231258336,40.2349940047,52600
