scenario,parameter,lower_bound,upper_bound,lower_contact_percent,upper_contact_percent,relative_tolerance,n
clean,eta,2,8,4,3,0.0001,100
clean,kappa,4,9,0,5,0.0001,100
clean,vbar,0.012,0.04,0,0,0.0001,100
clean,sigma_v,0.2,0.65,4,0,0.0001,100
clean,rho,-0.8,-0.2,0,0,0.0001,100
clean,kappa_q,1.5,4,49,0,0.0001,100
low_iid,eta,2,8,3,13,0.0001,100
low_iid,kappa,4,9,0,6,0.0001,100
low_iid,vbar,0.012,0.04,0,0,0.0001,100
low_iid,sigma_v,0.2,0.65,0,0,0.0001,100
low_iid,rho,-0.8,-0.2,1,0,0.0001,100
low_iid,kappa_q,1.5,4,39,0,0.0001,100
spatial_corr,eta,2,8,3,15,0.0001,100
spatial_corr,kappa,4,9,0,4,0.0001,100
spatial_corr,vbar,0.012,0.04,0,0,0.0001,100
spatial_corr,sigma_v,0.2,0.65,0,0,0.0001,100
spatial_corr,rho,-0.8,-0.2,1,0,0.0001,100
spatial_corr,kappa_q,1.5,4,39,0,0.0001,100
persistent_factor,eta,2,8,3,13,0.0001,100
persistent_factor,kappa,4,9,0,5,0.0001,100
persistent_factor,vbar,0.012,0.04,0,0,0.0001,100
persistent_factor,sigma_v,0.2,0.65,0,0,0.0001,100
persistent_factor,rho,-0.8,-0.2,1,0,0.0001,100
persistent_factor,kappa_q,1.5,4,35,0,0.0001,100
