scenario,metric,n,mean,median,sd,q10,q90
clean,mean_error,100,-0.000516531876787,-0.000585496818318,0.00185579860316,-0.00282655992728,0.00206505559656
clean,mae,100,0.00172653426322,0.00136247710509,0.00100753327395,0.000742886665293,0.00335643613916
clean,rmse,100,0.00193062762598,0.001630095946,0.000965880178103,0.000931773951897,0.00344212571676
clean,median_absolute_error,100,0.00165384423131,0.00121774755737,0.00108937998093,0.000612014912337,0.00337536932312
clean,q95_absolute_error,100,0.00306166319287,0.002867934787,0.00117548912816,0.00163608403648,0.00479009405816
clean,correlation,100,0.999820989831,0.999990266089,0.000502597997716,0.999493400834,0.999998882023
low_iid,mean_error,100,-0.00264126239385,-0.0026351353288,0.00191615241076,-0.00494741076982,-2.34052510655e-05
low_iid,mae,100,0.00323193276785,0.00307036024843,0.00127325527925,0.00177062845248,0.0049493127472
low_iid,rmse,100,0.00376006692789,0.00367588140075,0.00131700066777,0.00209809514505,0.00549884901851
low_iid,median_absolute_error,100,0.00306419875668,0.00278297005868,0.00139962913271,0.0016212483438,0.00497398155288
low_iid,q95_absolute_error,100,0.00668325483832,0.00689773069067,0.00207480003414,0.00386564039487,0.00923847093457
low_iid,correlation,100,0.992063242759,0.992120479792,0.00230519821912,0.988980175516,0.9950284433
spatial_corr,mean_error,100,-0.0026652658655,-0.00271644890062,0.00177262607113,-0.00474384686038,-0.000286825459812
spatial_corr,mae,100,0.00322991200743,0.00315644633954,0.00122638705395,0.00176151175137,0.00480569143395
spatial_corr,rmse,100,0.0037640536899,0.00374971142669,0.00128941057602,0.00213140321431,0.00550300274673
spatial_corr,median_absolute_error,100,0.00304160444868,0.00279479573922,0.00133636508305,0.00153595671685,0.00479779805081
spatial_corr,q95_absolute_error,100,0.00673910147598,0.00685095516784,0.00209981994249,0.00387465683441,0.00938689703782
spatial_corr,correlation,100,0.991622516128,0.991688239924,0.00252744196416,0.988035896026,0.994838207095
persistent_factor,mean_error,100,-0.0026252155403,-0.00274300228476,0.0018524453641,-0.00467398946238,7.72364491946e-05
persistent_factor,mae,100,0.00320816408937,0.00294772880531,0.00122320435848,0.00181797660939,0.00467420535203
persistent_factor,rmse,100,0.0037422422382,0.00360355501979,0.00127727906404,0.00219638811136,0.00536204221293
persistent_factor,median_absolute_error,100,0.00305135316799,0.00272731856312,0.00134328474993,0.00157369637236,0.00470264609225
persistent_factor,q95_absolute_error,100,0.00668952500737,0.00676046221356,0.00205721528157,0.00392441843763,0.0092749132457
persistent_factor,correlation,100,0.991845503973,0.992021459432,0.00253179977571,0.988858432072,0.994960397274
