sample_id,scenario,mean_off_diagonal_cross_contract_correlation,representative_contract_moneyness,representative_contract_maturity_years,representative_contract_lag1_correlation
0,low_iid,-0.0022997563258,0,0.25,0.00932772372922
0,spatial_corr,0.218444094735,0,0.25,0.0313876646495
0,persistent_factor,0.104340778616,0,0.25,0.288807842666
1,low_iid,-0.00215129358848,0,0.25,-0.0644426722369
1,spatial_corr,0.201708916444,0,0.25,0.0547761795927
1,persistent_factor,0.108947252055,0,0.25,0.190789837747
2,low_iid,0.00594383864864,0,0.25,0.061371286631
2,spatial_corr,0.23151909054,0,0.25,0.0174150488301
2,persistent_factor,0.115193170202,0,0.25,0.140591798157
3,low_iid,0.00583174613681,0,0.25,-0.00443875893617
3,spatial_corr,0.199960359955,0,0.25,0.0848189962526
3,persistent_factor,0.0883637386425,0,0.25,0.146834087638
4,low_iid,0.00505878911597,0,0.25,0.0291448863549
4,spatial_corr,0.214271712848,0,0.25,0.0450918973978
4,persistent_factor,0.0886711555297,0,0.25,0.102909748465
5,low_iid,-0.00669053615717,0,0.25,0.0704735193079
5,spatial_corr,0.202000054994,0,0.25,-0.0435053182149
5,persistent_factor,0.0963774420183,0,0.25,0.105362222842
6,low_iid,0.00225227227088,0,0.25,0.028142492705
6,spatial_corr,0.183901568466,0,0.25,0.0136343902451
6,persistent_factor,0.128814862748,0,0.25,0.197727396612
7,low_iid,0.00462189577557,0,0.25,0.0639381260936
7,spatial_corr,0.197366834637,0,0.25,0.0169048691378
7,persistent_factor,0.082419711305,0,0.25,0.134198301655
8,low_iid,0.00340113110051,0,0.25,0.0299116992239
8,spatial_corr,0.185849227403,0,0.25,-0.0193355803677
8,persistent_factor,0.0957757933981,0,0.25,0.104553605671
9,low_iid,0.00444771287831,0,0.25,0.0187563542739
9,spatial_corr,0.204030278443,0,0.25,0.0965605812883
9,persistent_factor,0.086018247944,0,0.25,0.15638295103
10,low_iid,0.00608632835951,0,0.25,0.0227917170494
10,spatial_corr,0.201496439255,0,0.25,-0.102463597271
10,persistent_factor,0.108888743326,0,0.25,0.116729515497
11,low_iid,0.00191253567313,0,0.25,-0.0320885721118
11,spatial_corr,0.199473219503,0,0.25,0.0124266288383
11,persistent_factor,0.116273828068,0,0.25,0.214096550816
