scenario,maturity_years,log_moneyness,q95_absolute_raw_error_bp,lower_bound_adjustment_percent,observations
low_iid,0.0833333333333,-0.15,43.6512562411,25.0342205323,52600
low_iid,0.0833333333333,-0.075,38.7498360617,0,52600
low_iid,0.0833333333333,0,34.4983960026,0,52600
low_iid,0.0833333333333,0.075,38.8754827534,6.26425855513,52600
low_iid,0.0833333333333,0.15,43.2949475039,80.9676806084,52600
low_iid,0.25,-0.15,41.0748214691,0,52600
low_iid,0.25,-0.075,36.5313067331,0,52600
low_iid,0.25,0,32.3193680893,0,52600
low_iid,0.25,0.075,36.549223106,0,52600
low_iid,0.25,0.15,41.3470174777,0,52600
low_iid,0.5,-0.15,40.5608966161,0,52600
low_iid,0.5,-0.075,35.8702579589,0,52600
low_iid,0.5,0,31.7609095326,0,52600
low_iid,0.5,0.075,35.8925704167,0,52600
low_iid,0.5,0.15,40.4131777542,0,52600
spatial_corr,0.0833333333333,-0.15,43.3999950953,25.1368821293,52600
spatial_corr,0.0833333333333,-0.075,38.9347397415,0,52600
spatial_corr,0.0833333333333,0,34.4122090743,0,52600
spatial_corr,0.0833333333333,0.075,38.6882452443,6.25285171103,52600
spatial_corr,0.0833333333333,0.15,43.4743917937,80.9505703422,52600
spatial_corr,0.25,-0.15,41.1349348101,0,52600
spatial_corr,0.25,-0.075,36.6935983856,0,52600
spatial_corr,0.25,0,32.3784056578,0,52600
spatial_corr,0.25,0.075,36.5780084257,0,52600
spatial_corr,0.25,0.15,40.9524243135,0,52600
spatial_corr,0.5,-0.15,40.1417599993,0,52600
spatial_corr,0.5,-0.075,35.7356791089,0,52600
spatial_corr,0.5,0,31.3914534868,0,52600
spatial_corr,0.5,0.075,35.7337197565,0,52600
spatial_corr,0.5,0.15,40.1972550946,0,52600
persistent_factor,0.0833333333333,-0.15,43.6522520222,25.0266159696,52600
persistent_factor,0.0833333333333,-0.075,39.1274445006,0,52600
persistent_factor,0.0833333333333,0,34.3863814441,0,52600
persistent_factor,0.0833333333333,0.075,38.7405291056,6.30228136882,52600
persistent_factor,0.0833333333333,0.15,43.1865606354,81.0133079848,52600
persistent_factor,0.25,-0.15,40.9645000359,0,52600
persistent_factor,0.25,-0.075,36.7234218959,0,52600
persistent_factor,0.25,0,32.4410235048,0,52600
persistent_factor,0.25,0.075,36.6196245655,0,52600
persistent_factor,0.25,0.15,41.096481967,0,52600
persistent_factor,0.5,-0.15,40.1957974097,0,52600
persistent_factor,0.5,-0.075,35.7498895433,0,52600
persistent_factor,0.5,0,31.5145065995,0,52600
persistent_factor,0.5,0.075,35.7293191913,0,52600
persistent_factor,0.5,0.15,40.1399307507,0,52600
pooled_noisy,0.0833333333333,-0.15,43.5748256571,25.0659062104,157800
pooled_noisy,0.0833333333333,-0.075,38.9435147799,0,157800
pooled_noisy,0.0833333333333,0,34.4447392774,0,157800
pooled_noisy,0.0833333333333,0.075,38.7548894515,6.27313054499,157800
pooled_noisy,0.0833333333333,0.15,43.3068126832,80.9771863118,157800
pooled_noisy,0.25,-0.15,41.0559619266,0,157800
pooled_noisy,0.25,-0.075,36.6555894706,0,157800
pooled_noisy,0.25,0,32.3780148733,0,157800
pooled_noisy,0.25,0.075,36.5896717653,0,157800
pooled_noisy,0.25,0.15,41.1432153667,0,157800
pooled_noisy,0.5,-0.15,40.2809698138,0,157800
pooled_noisy,0.5,-0.075,35.7983505601,0,157800
pooled_noisy,0.5,0,31.5644258358,0,157800
pooled_noisy,0.5,0.075,35.7783766939,0,157800
pooled_noisy,0.5,0.15,40.2413261637,0,157800
