scenario,maturity_years,log_moneyness,mean_iv,observations
clean,0.0833333333333,-0.15,0.199632630342,52600
clean,0.0833333333333,-0.075,0.17809660498,52600
clean,0.0833333333333,0,0.154514521539,52600
clean,0.0833333333333,0.075,0.141966544212,52600
clean,0.0833333333333,0.15,0.145141572384,52600
clean,0.25,-0.15,0.210245409339,52600
clean,0.25,-0.075,0.193152269252,52600
clean,0.25,0,0.176179937257,52600
clean,0.25,0.075,0.163559606866,52600
clean,0.25,0.15,0.159901305874,52600
clean,0.5,-0.15,0.223138679715,52600
clean,0.5,-0.075,0.210233351767,52600
clean,0.5,0,0.197896726687,52600
clean,0.5,0.075,0.187489547273,52600
clean,0.5,0.15,0.18072978953,52600
low_iid,0.0833333333333,-0.15,0.160668932099,52600
low_iid,0.0833333333333,-0.075,0.178085006156,52600
low_iid,0.0833333333333,0,0.154516388646,52600
low_iid,0.0833333333333,0.075,0.136660275722,52600
low_iid,0.0833333333333,0.15,0.0387258570758,52600
low_iid,0.25,-0.15,0.210227443419,52600
low_iid,0.25,-0.075,0.193140272699,52600
low_iid,0.25,0,0.176175242406,52600
low_iid,0.25,0.075,0.163555605759,52600
low_iid,0.25,0.15,0.159883092814,52600
low_iid,0.5,-0.15,0.223132014292,52600
low_iid,0.5,-0.075,0.210229050592,52600
low_iid,0.5,0,0.19789504751,52600
low_iid,0.5,0.075,0.187484099254,52600
low_iid,0.5,0.15,0.180721421261,52600
persistent_factor,0.0833333333333,-0.15,0.160660449365,52600
persistent_factor,0.0833333333333,-0.075,0.178069398116,52600
persistent_factor,0.0833333333333,0,0.154497580694,52600
persistent_factor,0.0833333333333,0.075,0.136623037415,52600
persistent_factor,0.0833333333333,0.15,0.0386634220828,52600
persistent_factor,0.25,-0.15,0.210232186793,52600
persistent_factor,0.25,-0.075,0.19314650046,52600
persistent_factor,0.25,0,0.176169123739,52600
persistent_factor,0.25,0.075,0.163551372047,52600
persistent_factor,0.25,0.15,0.159866946742,52600
persistent_factor,0.5,-0.15,0.223135675706,52600
persistent_factor,0.5,-0.075,0.210217660771,52600
persistent_factor,0.5,0,0.19788514323,52600
persistent_factor,0.5,0.075,0.187483753519,52600
persistent_factor,0.5,0.15,0.180716194465,52600
spatial_corr,0.0833333333333,-0.15,0.160445815862,52600
spatial_corr,0.0833333333333,-0.075,0.178076971227,52600
spatial_corr,0.0833333333333,0,0.154505573288,52600
spatial_corr,0.0833333333333,0.075,0.136676624607,52600
spatial_corr,0.0833333333333,0.15,0.0387580504191,52600
spatial_corr,0.25,-0.15,0.210249205483,52600
spatial_corr,0.25,-0.075,0.19314826541,52600
spatial_corr,0.25,0,0.176177975786,52600
spatial_corr,0.25,0.075,0.163556135936,52600
spatial_corr,0.25,0.15,0.159888346588,52600
spatial_corr,0.5,-0.15,0.223134964588,52600
spatial_corr,0.5,-0.075,0.210232402971,52600
spatial_corr,0.5,0,0.197897885809,52600
spatial_corr,0.5,0.075,0.187475603997,52600
spatial_corr,0.5,0.15,0.180714566404,52600
