scenario,quantity,metric,n,mean,median,sd,q10,q90
clean,erp,path_average_truth,100,0.110894638732,0.109900115846,0.00973982241462,0.0987409914149,0.124535554642
clean,erp,path_average_estimate,100,0.109129476415,0.107077339908,0.033326875945,0.0666068857129,0.155185784204
clean,erp,mean_error,100,-0.00176516231718,-0.00531007644013,0.037397061411,-0.0475860347661,0.0481606393217
clean,erp,mae,100,0.0311384640985,0.0288837328506,0.0205864969091,0.00618994091849,0.0620820396593
clean,erp,rmse,100,0.0350020761918,0.0319577405924,0.0227237184274,0.00681974209185,0.070516623815
clean,erp,correlation,100,0.999820989831,0.999990266089,0.000502597997716,0.999493400834,0.999998882023
clean,vrp,path_average_truth,100,-0.00436831430518,-0.00432540280675,0.00042025214303,-0.00495689014364,-0.00384391087017
clean,vrp,path_average_estimate,100,-0.00458930711966,-0.00460739168405,0.000676500238659,-0.00555723071291,-0.00369367152252
clean,vrp,mean_error,100,-0.000220992814476,-0.000307107049622,0.000773640740634,-0.00118415690354,0.000869186524692
clean,vrp,mae,100,0.000696020490707,0.000683845435378,0.000405392846502,0.000200393179534,0.00122631440094
clean,vrp,rmse,100,0.000826510806924,0.000781198680941,0.000485022007646,0.000223637256429,0.00149365863023
clean,vrp,correlation,100,0.999820989831,0.999990266089,0.000502597997716,0.999493400834,0.999998882023
low_iid,erp,path_average_truth,100,0.110894638732,0.109900115846,0.00973982241462,0.0987409914149,0.124535554642
low_iid,erp,path_average_estimate,100,0.107033266022,0.107111629838,0.0325358419937,0.0635720451408,0.152176602276
low_iid,erp,mean_error,100,-0.00386137271044,-0.00703293400146,0.0367468776296,-0.0470958628756,0.0471865251925
low_iid,erp,mae,100,0.0334123654236,0.03261116918,0.0181511224151,0.0128590664857,0.0586429565422
low_iid,erp,rmse,100,0.0394961062336,0.0369014958681,0.0209706640003,0.0155247066225,0.0702118723886
low_iid,erp,correlation,100,0.992063242759,0.992120479792,0.00230519821912,0.988980175516,0.9950284433
low_iid,vrp,path_average_truth,100,-0.00436831430518,-0.00432540280675,0.00042025214303,-0.00495689014364,-0.00384391087017
low_iid,vrp,path_average_estimate,100,-0.00395025819132,-0.00389212675441,0.000711782801433,-0.00492388464936,-0.00307471716105
low_iid,vrp,mean_error,100,0.000418056113859,0.000433924828367,0.000588204662541,-0.000409524445701,0.00118899781085
low_iid,vrp,mae,100,0.000763508768143,0.000681731224096,0.000298680764513,0.000463643683967,0.00118899781085
low_iid,vrp,rmse,100,0.000932476348595,0.000832106794603,0.000352408017613,0.00056497095614,0.00148622559584
low_iid,vrp,correlation,100,0.992063242759,0.992120479792,0.00230519821912,0.988980175516,0.9950284433
spatial_corr,erp,path_average_truth,100,0.110894638732,0.109900115846,0.00973982241462,0.0987409914149,0.124535554642
spatial_corr,erp,path_average_estimate,100,0.106397245862,0.106043628596,0.0320839959314,0.0638505102224,0.150792315614
spatial_corr,erp,mean_error,100,-0.00449739286986,-0.00780576238262,0.0361433368395,-0.0493054288243,0.0466953290757
spatial_corr,erp,mae,100,0.0328984616991,0.0318050503049,0.0180602154282,0.0129820981597,0.0590827531899
spatial_corr,erp,rmse,100,0.0389101492718,0.0334572207524,0.0210056892959,0.0153672196915,0.0696879594402
spatial_corr,erp,correlation,100,0.991622516128,0.991688239924,0.00252744196416,0.988035896026,0.994838207095
spatial_corr,vrp,path_average_truth,100,-0.00436831430518,-0.00432540280675,0.00042025214303,-0.00495689014364,-0.00384391087017
spatial_corr,vrp,path_average_estimate,100,-0.00394858223043,-0.00390126466159,0.000741749827479,-0.00502111770444,-0.00296662318157
spatial_corr,vrp,mean_error,100,0.000419732074752,0.000527072360615,0.000613548027111,-0.000450637671404,0.00112658635572
spatial_corr,vrp,mae,100,0.00079525396331,0.000737755471951,0.000283384860365,0.000488355253945,0.00125255504936
spatial_corr,vrp,rmse,100,0.000964504641663,0.000910657137248,0.000340481015323,0.000631394963509,0.00150118096953
spatial_corr,vrp,correlation,100,0.991622516128,0.991688239924,0.00252744196416,0.988035896026,0.994838207095
persistent_factor,erp,path_average_truth,100,0.110894638732,0.109900115846,0.00973982241462,0.0987409914149,0.124535554642
persistent_factor,erp,path_average_estimate,100,0.106221149562,0.104344489854,0.0324398785721,0.0618015798912,0.153956640551
persistent_factor,erp,mean_error,100,-0.00467348917023,-0.00734179812756,0.0364689708377,-0.0499145726473,0.0456408308781
persistent_factor,erp,mae,100,0.0330654807664,0.0306637885809,0.0184162568411,0.0128956089712,0.0587825921092
persistent_factor,erp,rmse,100,0.0390106404981,0.0340563311919,0.0211860244003,0.0151843309319,0.070209000993
persistent_factor,erp,correlation,100,0.991845503973,0.992021459432,0.00253179977571,0.988858432072,0.994960397274
persistent_factor,vrp,path_average_truth,100,-0.00436831430518,-0.00432540280675,0.00042025214303,-0.00495689014364,-0.00384391087017
persistent_factor,vrp,path_average_estimate,100,-0.00395122231616,-0.00393796519179,0.000683749080801,-0.00492025226042,-0.00306019496694
persistent_factor,vrp,mean_error,100,0.000417091989025,0.00039510171082,0.00058265646393,-0.000350684136968,0.00115620340004
persistent_factor,vrp,mae,100,0.000757977634432,0.000644323665175,0.000304557931392,0.000445142388103,0.00121020141889
persistent_factor,vrp,rmse,100,0.000921167815468,0.00083573913648,0.000362506826596,0.000531639108528,0.00150627885598
persistent_factor,vrp,correlation,100,0.991845503973,0.992021459432,0.00253179977571,0.988858432072,0.994960397274
