scenario,statistic,parameter,value,mcse,n
clean,bias,eta,0.141664872406,0.172529169734,100
clean,rmse,eta,1.72247904561,0.0864941339772,100
clean,bias,kappa,0.0240633460365,0.124197282733,100
clean,rmse,kappa,1.23598162746,0.0616206063565,100
clean,bias,vbar,-0.00069886571975,0.000249783397453,100
clean,rmse,vbar,0.00258170411026,0.000155341095244,100
clean,bias,sigma_v,-0.0633994052939,0.00600533736,100
clean,rmse,sigma_v,0.087119620038,0.00667420129287,100
clean,bias,rho,-0.0362731914342,0.0136520283291,100
clean,rmse,rho,0.1405957122,0.00788653707312,100
clean,bias,kappa_q,-0.417819001714,0.0138631492389,100
clean,rmse,kappa_q,0.439999115872,0.00935416460649,100
low_iid,bias,eta,0.533639678917,0.177604403443,100
low_iid,rmse,eta,1.845957853,0.0937128418847,100
low_iid,bias,kappa,-0.297131767122,0.112121476639,100
low_iid,rmse,kappa,1.1544862987,0.0630133513981,100
low_iid,bias,vbar,-0.00241860918983,0.00017619004622,100
low_iid,rmse,vbar,0.0029871258292,0.000113859798487,100
low_iid,bias,sigma_v,-0.0163583342622,0.0102947703004,100
low_iid,rmse,sigma_v,0.103729659973,0.00529278394608,100
low_iid,bias,rho,-0.0308782724816,0.0138508305697,100
low_iid,rmse,rho,0.141230920662,0.0100954822317,100
low_iid,bias,kappa_q,-0.423766985876,0.0148437887248,100
low_iid,rmse,kappa_q,0.448767118476,0.00779461989929,100
spatial_corr,bias,eta,0.512751976116,0.176810845977,100
spatial_corr,rmse,eta,1.83244646287,0.0952805255781,100
spatial_corr,bias,kappa,-0.289477180997,0.115398895367,100
spatial_corr,rmse,kappa,1.18413286352,0.0582574634381,100
spatial_corr,bias,vbar,-0.00245371238721,0.000183533867589,100
spatial_corr,rmse,vbar,0.0030586741987,0.000129835797932,100
spatial_corr,bias,sigma_v,-0.0133265068865,0.0108500403558,100
spatial_corr,rmse,sigma_v,0.108775962337,0.00490548386981,100
spatial_corr,bias,rho,-0.0103134214881,0.0140878193387,100
spatial_corr,rmse,rho,0.140550935184,0.00982789633784,100
spatial_corr,bias,kappa_q,-0.416092277238,0.0151229561345,100
spatial_corr,rmse,kappa_q,0.442464077185,0.00898595563433,100
persistent_factor,bias,eta,0.495256131912,0.177277606719,100
persistent_factor,rmse,eta,1.83209887036,0.0953139653232,100
persistent_factor,bias,kappa,-0.291088094769,0.111449026388,100
persistent_factor,rmse,kappa,1.14647282642,0.0658226574379,100
persistent_factor,bias,vbar,-0.00246854550477,0.000192644696901,100
persistent_factor,rmse,vbar,0.00312534843726,0.000150483863713,100
persistent_factor,bias,sigma_v,-0.0143829975036,0.0102556478832,100
persistent_factor,rmse,sigma_v,0.103051073037,0.00513445276655,100
persistent_factor,bias,rho,-0.0269436698056,0.0137089391887,100
persistent_factor,rmse,rho,0.139037864256,0.00878660213686,100
persistent_factor,bias,kappa_q,-0.423874335957,0.012879403159,100
persistent_factor,rmse,kappa_q,0.442822172244,0.00777455525153,100
