scenario,statistic,parameter,value,n,mcse
clean,true_value,eta,5,100,
clean,mean,eta,5.14166487241,100,
clean,median,eta,4.96435892318,100,
clean,bias,eta,0.141664872406,100,0.172529169734
clean,empirical_sd,eta,1.72529169734,100,
clean,rmse,eta,1.72247904561,100,0.0864941339772
clean,q10,eta,2.9369730689,100,
clean,q90,eta,7.44433216294,100,
clean,true_value,kappa,7,100,
clean,mean,kappa,7.02406334604,100,
clean,median,kappa,7.03236711655,100,
clean,bias,kappa,0.0240633460365,100,0.124197282733
clean,empirical_sd,kappa,1.24197282733,100,
clean,rmse,kappa,1.23598162746,100,0.0616206063565
clean,q10,kappa,5.33022521859,100,
clean,q90,kappa,8.97778626177,100,
clean,true_value,vbar,0.0225,100,
clean,mean,vbar,0.0218011342803,100,
clean,median,vbar,0.0214722907369,100,
clean,bias,vbar,-0.00069886571975,100,0.000249783397453
clean,empirical_sd,vbar,0.00249783397453,100,
clean,rmse,vbar,0.00258170411026,100,0.000155341095244
clean,q10,vbar,0.0192132478401,100,
clean,q90,vbar,0.0253522130519,100,
clean,true_value,sigma_v,0.4,100,
clean,mean,sigma_v,0.336600594706,100,
clean,median,sigma_v,0.352046985758,100,
clean,bias,sigma_v,-0.0633994052939,100,0.00600533736
clean,empirical_sd,sigma_v,0.0600533736,100,
clean,rmse,sigma_v,0.087119620038,100,0.00667420129287
clean,q10,sigma_v,0.232229114676,100,
clean,q90,sigma_v,0.398302698784,100,
clean,true_value,rho,-0.5,100,
clean,mean,rho,-0.536273191434,100,
clean,median,rho,-0.55007891585,100,
clean,bias,rho,-0.0362731914342,100,0.0136520283291
clean,empirical_sd,rho,0.136520283291,100,
clean,rmse,rho,0.1405957122,100,0.00788653707312
clean,q10,rho,-0.740988865267,100,
clean,q90,rho,-0.353196540473,100,
clean,true_value,kappa_q,2,100,
clean,mean,kappa_q,1.58218099829,100,
clean,median,kappa_q,1.50033206718,100,
clean,bias,kappa_q,-0.417819001714,100,0.0138631492389
clean,empirical_sd,kappa_q,0.138631492389,100,
clean,rmse,kappa_q,0.439999115872,100,0.00935416460649
clean,q10,kappa_q,1.50000337824,100,
clean,q90,kappa_q,1.79604616952,100,
low_iid,true_value,eta,5,100,
low_iid,mean,eta,5.53363967892,100,
low_iid,median,eta,5.31948064074,100,
low_iid,bias,eta,0.533639678917,100,0.177604403443
low_iid,empirical_sd,eta,1.77604403443,100,
low_iid,rmse,eta,1.845957853,100,0.0937128418847
low_iid,q10,eta,3.3409403025,100,
low_iid,q90,eta,7.99991516299,100,
low_iid,true_value,kappa,7,100,
low_iid,mean,kappa,6.70286823288,100,
low_iid,median,kappa,6.5970442283,100,
low_iid,bias,kappa,-0.297131767122,100,0.112121476639
